703.119674,449.136464,591.795349,451.955505,438.180847,484.750427,745.062683,158.987732,555.210975,429.55487,439.709747,517.166748,497.080747,398.219337
703.03,450.16,584.031677,454.228027,438.330231,485.224609,577.206996,391.430387,554.136926,429.780479,439.503113,516.591492,497.61,398.21
703.18,451.57,593.473572,452.156677,437.84494,485.196838,578.553656,390.298895,554.2,430.52,439.47226,516.742493,498.01,398.76
703.17,452.83,596.246948,448.647034,437.676575,485.282166,578.553656,391.430387,554.47,431.16,439.470459,516.889221,498.66,399.46
703.21,453.96,593.865112,451.868896,436.836304,485.346924,578.553656,391.430387,554.99,431.9,439.638031,517.772095,499.19,400.64
703.36,455.14,593.960083,452.85144,436.897675,485.474548,578.553656,391.430387,555.15,432.71,439.267975,517.153137,499.94,401.31
703.36,456.41,593.794678,452.400574,436.655701,485.327698,579.226986,395.956354,555.89,433.03,438.702362,517.346741,500.69,402.22
703.5,457.83,593.869202,453.529907,436.6138,485.78186,579.226986,398.219337,556.03,433.79,438.538757,516.471344,501.12,403.1
703.96,459.09,594.81543,453.383484,436.321838,485.48822,579.226986,398.219337,556.71,434.19,438.675507,516.56131,501.6,404.12
704.02,460.32,595.047974,453.27301,436.250244,485.70575,579.226986,398.219337,556.91,435.01,780.820007,259.626648,502.31,405.04
704.07,461.8,596.029053,452.131165,435.975616,485.072693,579.226986,398.219337,557.04,435.84,776.441589,259.211182,503.04,405.94
704.13,462.99,596.091064,453.064331,435.913879,485.450134,579.226986,398.219337,557.17,436.67,776.666382,258.77301,503.8,406.82
704.2,464.17,596.48175,453.380188,435.70285,485.151123,579.226986,398.219337,557.61,437.06,775.104675,258.332153,504.25,407.76
704.25,465.55,597.659241,454.118347,435.425476,485.353638,579.226986,398.219337,558.1,437.87,775.897949,258.11908,505.11,408.85
704.3,467.06,597.135986,454.268616,435.255676,485.01947,579.900316,400.48232,558.79,438.33,777.641724,257.743835,505.88,409.81
704.31,468.34,594.789246,460.832153,434.951263,485.557495,581.246975,403.876796,558.95,439,782.023376,257.481628,506.7,410.59
704.53,469.8,595.181335,460.270691,434.467468,485.006836,581.920305,406.139779,559.13,439.82,438.058868,516.593262,507.29,411
